cut_budget,realized_cut,seed,dataset,model,optimizer,params,collapse_label,train_time_sec,shots_used,n_segments,avg_seg_length,med_seg_length,sse,od,metric_type,metric_value
0.4,0.22300528567832872,4,geolife,random,none,0,healthy,2.3381450176239014,0,4455,5.459034792368126,5.0,12.255062757102621,0.05069075175595252,nValCR,0.1372691888762779
0.4,0.22300528567832872,4,geolife,random,none,0,healthy,2.3381450176239014,0,4455,5.459034792368126,5.0,12.255062757102621,0.05069075175595252,wValCR,0.12589830949712968
0.5,0.24973571608356407,4,geolife,random,none,0,healthy,2.5722129344940186,0,4984,4.985754414125201,4.0,13.70688075611573,0.050693652845725225,raw_ValCR,0.6873225858527231
0.5,0.24973571608356407,4,geolife,random,none,0,healthy,2.5722129344940186,0,4984,4.985754414125201,4.0,13.70688075611573,0.050693652845725225,nValCR,0.14606310075827966
0.5,0.24973571608356407,4,geolife,random,none,0,healthy,2.5722129344940186,0,4984,4.985754414125201,4.0,13.70688075611573,0.050693652845725225,wValCR,0.13785728873958597
0.7,0.28905109489051095,4,geolife,random,none,0,healthy,2.8746891021728516,0,5765,4.445793581960104,4.0,15.822237274996418,0.050635772898057346,raw_ValCR,0.6865378289242537
0.7,0.28905109489051095,4,geolife,random,none,0,healthy,2.8746891021728516,0,5765,4.445793581960104,4.0,15.822237274996418,0.050635772898057346,nValCR,0.15830408057717443
0.7,0.28905109489051095,4,geolife,random,none,0,healthy,2.8746891021728516,0,5765,4.445793581960104,4.0,15.822237274996418,0.050635772898057346,wValCR,0.15442413514429665
1.0,0.3324439969796124,4,geolife,random,none,0,healthy,3.160092830657959,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,raw_ValCR,0.6873006014539921
1.0,0.3324439969796124,4,geolife,random,none,0,healthy,3.160092830657959,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,nValCR,0.17168445395709156
1.0,0.3324439969796124,4,geolife,random,none,0,healthy,3.160092830657959,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,wValCR,0.17161747530640362
0.0,0.0,5,geolife,random,none,0,never_cut,5.571408033370972,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,raw_ValCR,0.701877118185334
0.0,0.0,5,geolife,random,none,0,never_cut,5.571408033370972,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,nValCR,0.00435443342187336
0.0,0.0,5,geolife,random,none,0,never_cut,5.571408033370972,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,wValCR,0.0017621820692576803
0.02,0.01807198590485779,5,geolife,random,none,0,healthy,0.8070807456970215,0,408,49.68872549019608,39.0,1.1522529810503208,0.05160652263039744,raw_ValCR,0.6996995992602435
0.02,0.01807198590485779,5,geolife,random,none,0,healthy,0.8070807456970215,0,408,49.68872549019608,39.0,1.1522529810503208,0.05160652263039744,nValCR,0.03317176465610304
0.02,0.01807198590485779,5,geolife,random,none,0,healthy,0.8070807456970215,0,408,49.68872549019608,39.0,1.1522529810503208,0.05160652263039744,wValCR,0.014081657204073365
0.05,0.04525547445255475,5,geolife,random,none,0,healthy,0.9903521537780762,0,945,22.021164021164022,17.0,2.6182510342846204,0.0507904702612345,raw_ValCR,0.6886352708270319
0.05,0.04525547445255475,5,geolife,random,none,0,healthy,0.9903521537780762,0,945,22.021164021164022,17.0,2.6182510342846204,0.0507904702612345,nValCR,0.05485792240054266
0.05,0.04525547445255475,5,geolife,random,none,0,healthy,0.9903521537780762,0,945,22.021164021164022,17.0,2.6182510342846204,0.0507904702612345,wValCR,0.03127151998709972
0.1,0.0797382330732444,5,geolife,random,none,0,healthy,1.2892570495605469,0,1630,13.187116564417177,10.0,4.449567858683846,0.05058901515010768,raw_ValCR,0.6859038707376692
0.1,0.0797382330732444,5,geolife,random,none,0,healthy,1.2892570495605469,0,1630,13.187116564417177,10.0,4.449567858683846,0.05058901515010768,nValCR,0.07839050593093656
0.1,0.0797382330732444,5,geolife,random,none,0,healthy,1.2892570495605469,0,1630,13.187116564417177,10.0,4.449567858683846,0.05058901515010768,wValCR,0.052013180242028424
0.15,0.11608356405738736,5,geolife,random,none,0,healthy,1.574793815612793,0,2341,9.485689876121315,8.0,6.524124072639124,0.05107050765193614,raw_ValCR,0.6924321174282871
0.15,0.11608356405738736,5,geolife,random,none,0,healthy,1.574793815612793,0,2341,9.485689876121315,8.0,6.524124072639124,0.05107050765193614,nValCR,0.09707400934875189
